Model,Year,Mileage,V_engine,EngineType,HorsePower,Selector,Color,CarBodyType,Drive,Price
Mazda CX-7 I Рестайлинг,2011,190000.0,2.5,Бензин,163.0,автомат,белый,внедорожник 5 дв.,передний,750000.0
Mercedes-Benz Viano Long L2 I (W639) Рестайлинг,2013,132479.0,2.1,Дизель,163.0,автомат,чёрный,минивэн,полный,2280000.0
Mercedes-Benz GLE Coupe 350 d I (C292),2016,91000.0,3.0,Дизель,249.0,автомат,красный,внедорожник 5 дв.,полный,4190000.0
Volkswagen Golf V,2008,293000.0,1.6,Бензин,102.0,механика,чёрный,хэтчбек 5 дв.,передний,400000.0
Volkswagen Caravelle T6,2016,161700.0,2.0,Дизель,140.0,механика,белый,минивэн,полный,2495000.0
Mercedes-Benz V-Класс 220 d компактный II,2014,90000.0,2.1,Дизель,163.0,автомат,коричневый,минивэн,задний,4980000.0
Mercedes-Benz S-Класс 500 III (W140) Рестайлинг,1997,123000.0,5.0,Бензин,320.0,автомат,фиолетовый,седан,задний,2999999.0
Toyota Land Cruiser 200 Series Рестайлинг 2,2016,83350.0,4.5,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,5010000.0
Mercedes-Benz V-Класс XL 250 d экстра длинный II,2015,149000.0,2.1,Дизель,190.0,автомат,коричневый,минивэн,полный,3599000.0
Chevrolet Niva I,2008,158000.0,1.7,Бензин,80.0,механика,серебристый,внедорожник 5 дв.,полный,155000.0
Mercedes-Benz GLK-Класс 220 CDI I (X204) Рестайлинг,2013,197000.0,2.1,Дизель,170.0,автомат,серый,внедорожник 5 дв.,полный,1500000.0
Mitsubishi ASX I,2012,147000.0,2.0,Бензин,150.0,вариатор,серый,внедорожник 5 дв.,полный,850000.0
Hyundai Tucson II,2011,130000.0,2.0,Дизель,184.0,автомат,белый,внедорожник 5 дв.,полный,1100000.0
Mercedes-Benz S-Класс 600 Long IV (W220) Рестайлинг,2004,205060.0,5.5,Бензин,500.0,автомат,чёрный,седан,задний,2000000.0
Ford Focus I Рестайлинг,2004,340000.0,1.6,Бензин,98.0,механика,зелёный,хэтчбек 5 дв.,передний,147000.0
Volvo 940,1993,350000.0,2.3,Бензин,131.0,механика,белый,седан,задний,85000.0
LADA (ВАЗ) 2106,1997,87000.0,1.6,Бензин,75.0,механика,синий,седан,задний,55000.0
Peugeot 407,2004,200000.0,2.0,Бензин,136.0,механика,золотистый,седан,передний,120000.0
LADA (ВАЗ) 2107,2000,68000.0,1.5,Бензин,72.0,механика,красный,седан,задний,65000.0
Chevrolet Captiva I Рестайлинг 2,2014,80263.0,2.4,Бензин,167.0,автомат,чёрный,внедорожник 5 дв.,полный,1599999.0
Chery Tiggo (T11) I,2010,92000.0,1.9,Бензин,132.0,механика,серебристый,внедорожник 5 дв.,передний,309000.0
Infiniti G G35 IV,2007,196500.0,3.5,Бензин,315.0,автомат,чёрный,седан,полный,899999.0
Audi A5 I (8T) Рестайлинг,2015,69451.0,2.0,Бензин,225.0,робот,чёрный,купе,полный,2000000.0
Skoda Octavia RS II Рестайлинг,2012,189000.0,2.0,Бензин,200.0,робот,синий,лифтбек,передний,1050000.0
Hyundai Solaris I,2011,125000.0,1.6,Бензин,123.0,автомат,серебристый,седан,передний,580000.0
Hyundai Solaris II,2017,53000.0,1.4,Бензин,100.0,автомат,серебристый,седан,передний,855000.0
Mercedes-Benz GLC 200 I (X253) Рестайлинг,2021,0.0,2.0,Бензин,197.0,автомат,GLC 200 4MATIC Premium,внедорожник 5 дв.,полный,4832000.0
Hyundai Solaris II,2017,51000.0,1.4,Бензин,100.0,автомат,белый,седан,передний,940000.0
Mercedes-Benz M-Класс 350 CDI III (W166),2013,135239.0,3.0,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,2300000.0
Toyota Crown VIII (S130),1991,112000.0,2.0,Бензин,170.0,автомат,серебристый,универсал 5 дв.,задний,650000.0
Volkswagen Lupo,1998,120000.0,1.4,Бензин,75.0,механика,зелёный,хэтчбек 3 дв.,передний,105000.0
Haval F7 I,2019,50000.0,2.0,Бензин,190.0,робот,чёрный,внедорожник 5 дв.,полный,1720000.0
Nissan Almera II (N16) Рестайлинг,2004,258000.0,1.5,Бензин,98.0,механика,серебристый,седан,передний,195000.0
Opel Astra X16SZR F,1997,333333.0,1.6,Бензин,75.0,механика,зелёный,универсал 5 дв.,передний,60000.0
LADA (ВАЗ) 2101,1978,7000.0,1.2,Бензин,64.0,механика,жёлтый,седан,задний,150000.0
LADA (ВАЗ) 2114,2012,94000.0,1.6,Бензин,81.0,механика,синий,хэтчбек 5 дв.,передний,200000.0
Renault Logan I,2008,428000.0,1.4,Бензин,75.0,механика,синий,седан,передний,180000.0
Infiniti G G37 IV,2008,221116.0,3.7,Бензин,333.0,автомат,чёрный,купе,задний,1070000.0
Mazda 3 III (BM) Рестайлинг,2017,52394.0,1.5,Бензин,120.0,автомат,красный,седан,передний,1149000.0
Kia Ceed II Рестайлинг,2018,89945.0,1.6,Бензин,130.0,автомат,белый,универсал 5 дв.,передний,1079000.0
Mercedes-Benz GLS AMG 63 AMG I (X166),2016,95562.0,5.5,Бензин,585.0,автомат,белый,внедорожник 5 дв.,полный,4158000.0
