Vacancy,Salary_min,Salary_max,Currency,Vac_link,Source,Employee,Area
Python разработчик,,,,https://superjob.ru/vakansii/python-razrabotchik-39035979.html,superjob.ru,Сбербанк России,Екатеринбург
Python разработчик (middle +),,180000.0,руб.,https://superjob.ru/vakansii/python-razrabotchik-39302335.html,superjob.ru,МЕДИКАЛ НОУТ,Москва
Разработчик Python / Fastapi,70000.0,,руб.,https://superjob.ru/vakansii/razrabotchik-python-38824667.html,superjob.ru,Соловьев Евгений Сергеевич,Севастополь
"Аналитик в отдел планирования (SQL, Python/R)",,,,https://superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,superjob.ru,Мегаполис,Москва
Teamlead команды разработки с Python,160000.0,,руб.,https://superjob.ru/vakansii/teamlead-komandy-razrabotki-s-python-38938952.html,superjob.ru,ВИЗАВИ Консалт,Вологда
Python Backend Team Lead,270000.0,,руб.,https://superjob.ru/vakansii/python-backend-team-lead-38826745.html,superjob.ru,Умные Технологические Решения,Москва
"Full-stack Developer (Python, Javascript)",150000.0,,руб.,https://superjob.ru/vakansii/full-stack-developer-39112502.html,superjob.ru,Умный Код,Москва
Разработчик Python / Django,,150000.0,руб.,https://superjob.ru/vakansii/razrabotchik-python-39186915.html,superjob.ru,,Уфа
Backend Python Django Developer Data Science Computer Vision ML Engineer,150000.0,175000.0,руб.,https://superjob.ru/vakansii/backend-python-django-developer-data-science-computer-vision-ml-engineer-38816403.html,superjob.ru,Longevity InTime,Москва
Senior Python разработчик,,350000.0,руб.,https://superjob.ru/vakansii/senior-python-razrabotchik-39177573.html,superjob.ru,КонсалтПро,Москва
Backend Developer Python,,100000.0,руб.,https://superjob.ru/vakansii/backend-developer-python-39176702.html,superjob.ru,Аналитикс Групп,Самара
Разработчик Python,240000.0,300000.0,руб.,https://superjob.ru/vakansii/razrabotchik-python-39276300.html,superjob.ru,1ceo,Москва
Python developer (Backend) в международную IT-компанию,,230000.0,руб.,https://superjob.ru/vakansii/python-developer-38909638.html,superjob.ru,Оксана Швецова,Москва
Python Backend Developer / WEB-разработчик,185000.0,,руб.,https://superjob.ru/vakansii/python-backend-developer-39275088.html,superjob.ru,Perfect Systems,Душанбе
Python Django fullstack разработчик (удаленно),,200000.0,руб.,https://superjob.ru/vakansii/python-django-fullstack-razrabotchik-39274896.html,superjob.ru,Алекс Персонал,Москва
Junior / Pre-middle Python Developer,40000.0,50000.0,руб.,https://superjob.ru/vakansii/junior-38904897.html,superjob.ru,Frosty,Оренбург
Старший системный интегратор / Senior Разработчик Python,140000.0,170000.0,руб.,https://superjob.ru/vakansii/starshij-sistemnyj-integrator-39272253.html,superjob.ru,Робот Карл,Санкт-Петербург
Python разработчик,,,,https://superjob.ru/vakansii/python-razrabotchik-39255918.html,superjob.ru,БелХард Групп,Минск
Backend-разработчик Python,40000.0,,руб.,https://superjob.ru/vakansii/backend-razrabotchik-python-39007161.html,superjob.ru,Турчанинов,Тула
Python-разработчик,50000.0,,руб.,https://superjob.ru/vakansii/python-razrabotchik-38996596.html,superjob.ru,Сима-ленд,Екатеринбург
Middle Python разработчик (Продукт Залоговая экспертиза),,,,https://superjob.ru/vakansii/middle-python-razrabotchik-38855096.html,superjob.ru,Сбербанк России,Москва
"Backend-разработчик (PHP, Ruby, Python)",,,,https://superjob.ru/vakansii/backend-razrabotchik-38846424.html,superjob.ru,Brightlab,Ростов-на-Дону
Python developer,180000.0,,руб.,https://superjob.ru/vakansii/python-developer-39082253.html,superjob.ru,"ООО ""АйСиБи Фанд""",Москва
"Программист-инженер С++, Python",100000.0,,руб.,https://superjob.ru/vakansii/programmist-inzhener-s-38845708.html,superjob.ru,Сапфир Секьюрити Технолоджис,Москва
Data Engineer (Spark/Python),,,,https://superjob.ru/vakansii/data-engineer-38892377.html,superjob.ru,Сбербанк России,Санкт-Петербург
Инженер-разработчик,120000.0,150000.0,руб.,https://superjob.ru/vakansii/inzhener-razrabotchik-39218578.html,superjob.ru,Робот Карл,Новосибирск
IT-специалист,40000.0,,руб.,https://superjob.ru/vakansii/it-specialist-39038595.html,superjob.ru,JOBCART.RU,Пермь
Ведущий аналитик,,,,https://superjob.ru/vakansii/veduschij-analitik-36181150.html,superjob.ru,SuperJob,Москва
Старший программист 1C,150000.0,,руб.,https://superjob.ru/vakansii/starshij-programmist-1c-39061529.html,superjob.ru,УК Грандо,Колпино
Ведущий специалист в группу сопровождения процессов взыскания,60000.0,,руб.,https://superjob.ru/vakansii/veduschij-specialist-v-gruppu-soprovozhdeniya-processov-vzyskaniya-39250325.html,superjob.ru,МТС,Краснодар
Программист 1С,,,,https://superjob.ru/vakansii/programmist-1s-39215921.html,superjob.ru,Зоостандарт,Москва
Программист-математик,90000.0,,руб.,https://superjob.ru/vakansii/programmist-matematik-38958496.html,superjob.ru,Арт-Рекрутинг,Санкт-Петербург
"Инженер, научный сотрудник (электрохимия)",60000.0,,руб.,https://superjob.ru/vakansii/inzhener-39067000.html,superjob.ru,Всероссийский научно-исследовательский институт авиационных материалов,Геленджик
"Backend-разработчик (PHP, Middle)",110000.0,,руб.,https://superjob.ru/vakansii/backend-razrabotchik-39215193.html,superjob.ru,Виджет,Пермь
Ведущий инженер-программист / Разработчик программных решений,100000.0,120000.0,руб.,https://superjob.ru/vakansii/veduschij-inzhener-programmist-39213488.html,superjob.ru,ИТ-Индустрия,Москва
Программист-разработчик,,,,https://superjob.ru/vakansii/programmist-razrabotchik-31861344.html,superjob.ru,"""Управляющая компания ""Русмолко""",Пенза
DevOps-инженер,,200000.0,руб.,https://superjob.ru/vakansii/devops-inzhener-39301870.html,superjob.ru,МЕДИКАЛ НОУТ,Москва
Инженер VoIP,100000.0,110000.0,руб.,https://superjob.ru/vakansii/inzhener-voip-39128607.html,superjob.ru,Лечебно-диагностический центр Международного института биологических систем им. Сергея Березина,Санкт-Петербург
Системный администратор Linux,130000.0,,руб.,https://superjob.ru/vakansii/sistemnyj-administrator-linux-39167682.html,superjob.ru,COZY HOME,Москва
Веб-разработчик (Junior),,,,https://superjob.ru/vakansii/veb-razrabotchik-34415770.html,superjob.ru,МИ ФНС России по ЦОД N2,Москва
Аналитик экономических показателей,,,,https://superjob.ru/vakansii/analitik-ekonomicheskih-pokazatelej-39218396.html,superjob.ru,Сбербанк России,Екатеринбург
Ведущий инженер по данным,100000.0,,руб.,https://superjob.ru/vakansii/veduschij-inzhener-po-dannym-39250070.html,superjob.ru,МТС,Краснодар
ML Android Engineer (remote / office),,,,https://superjob.ru/vakansii/ml-android-engineer-38955090.html,superjob.ru,IT Recruitment Solutions (ITRS.ua)®,Киев
Аналитик,,,,https://superjob.ru/vakansii/analitik-38506550.html,superjob.ru,Центр Корпорация,Ижевск
Аналитик,,,,https://superjob.ru/vakansii/analitik-37623704.html,superjob.ru,"ГУП ""Московский метрополитен""",Москва
Ведущий программист Perl,140000.0,,руб.,https://superjob.ru/vakansii/veduschij-programmist-perl-39205639.html,superjob.ru,МАСТЕРХОСТ,Москва
Программист,90000.0,,руб.,https://superjob.ru/vakansii/programmist-39207832.html,superjob.ru,ФГУП ИАЦ ГосНИИ ГА,Москва
Продуктовый аналитик,,,,https://superjob.ru/vakansii/produktovyj-analitik-33473129.html,superjob.ru,SuperJob,Москва
Ведущий инженер,150000.0,180000.0,руб.,https://superjob.ru/vakansii/veduschij-inzhener-36502434.html,superjob.ru,Мособлгаз,Москва
Преподаватель компьютерных курсов,,,,https://superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-38837087.html,superjob.ru,Частный рекрутер,Москва
Инженер-программист ЧМИ (SCADA),57000.0,70000.0,руб.,https://superjob.ru/vakansii/inzhener-programmist-chmi-38839810.html,superjob.ru,Система Комплекс,Санкт-Петербург
Программист 1С,,,,https://superjob.ru/vakansii/programmist-1s-36642235.html,superjob.ru,БашМаг,Москва
Преподаватель компьютерных курсов (удаленно),,80000.0,руб.,https://superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-38837040.html,superjob.ru,Онлайн школа английского языка,Москва
Разработчик SQL,120000.0,140000.0,руб.,https://superjob.ru/vakansii/razrabotchik-sql-38468654.html,superjob.ru,Первая Экспедиционная Компания,Москва
Старший инженер в отдел разработки и сопровождения аналитических систем / Старший QV инженер,,,,https://superjob.ru/vakansii/starshij-inzhener-v-otdel-razrabotki-i-soprovozhdeniya-analiticheskih-sistem-38972495.html,superjob.ru,Слата,Иркутск
Специалист по информационным системам,70000.0,,руб.,https://superjob.ru/vakansii/specialist-po-informacionnym-sistemam-36146717.html,superjob.ru,СПб ГБУЗ Городская больница № 26,Санкт-Петербург
Аналитик,,,,https://superjob.ru/vakansii/analitik-39148321.html,superjob.ru,Полюс,Красноярск
TeamLead развития решений по управлению данными (г. Сочи),,,,https://superjob.ru/vakansii/teamlead-razvitiya-reshenij-po-upravleniyu-dannymi-38837058.html,superjob.ru,Jobblog,Сочи
Инженер технической поддержки,,150000.0,руб.,https://superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-39072050.html,superjob.ru,,Москва
Системный администратор Linux,80000.0,,руб.,https://superjob.ru/vakansii/sistemnyj-administrator-linux-39070859.html,superjob.ru,Вайнтриб,Санкт-Петербург
Ведущий инженер по сопровождению (администратор ИФТ),,,,https://superjob.ru/vakansii/veduschij-inzhener-po-soprovozhdeniyu-39274749.html,superjob.ru,Сбербанк России,Зеленогорск (Санкт-Петербург)
SEO-оптимизатор,120000.0,,руб.,https://superjob.ru/vakansii/seo-optimizator-39071948.html,superjob.ru,SuperJob,Москва
Backend Developer,80000.0,,руб.,https://superjob.ru/vakansii/backend-developer-39070796.html,superjob.ru,Вайнтриб,Санкт-Петербург
Аналитик мобильных приложений / Игровой аналитик (junior),,,,https://superjob.ru/vakansii/analitik-mobilnyh-prilozhenij-38836454.html,superjob.ru,GoKids,Тбилиси
Специалист службы поддержки (с техническими знаниями),15000.0,,руб.,https://superjob.ru/vakansii/specialist-sluzhby-podderzhki-37985804.html,superjob.ru,Яндекс,Пушкино
"Системный администратор, IT-специалист",,90000.0,руб.,https://superjob.ru/vakansii/sistemnyj-administrator-38941354.html,superjob.ru,Coleman Services,Москва
Специалист технической поддержки,70000.0,,руб.,https://superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-39201863.html,superjob.ru,Кухонный Двор,Люберцы
Инженер-физик,80000.0,,руб.,https://superjob.ru/vakansii/inzhener-fizik-39065937.html,superjob.ru,Физический институт им. П. Н. Лебедева,Москва
